,station_id,count_x,count_y,total_counts,station1,station2,station3,distance1,distance2,distance3
686,3561,1230.0,1238,2468.0,R339-N312,R339-N311,R090-R510,0.0018388999999956468,0.0018388999999956468,0.004752899999992621
687,3562,3753.0,3657,7410.0,R412-B010,R171-B004,R348-H035,0.006869999999999266,0.01355800000000329,0.057813000000003
688,3563,1234.0,1211,2445.0,R090-R510,R291-R516,R291-R517,0.004118999999974449,0.014353999999968892,0.014353999999968892
689,3564,527.0,521,1048.0,R140-N310,R468-TRAM1,R015-N303,0.012158699999993416,0.028826100000010513,0.03892969999999707
690,3565,1279.0,1282,2561.0,R468-TRAM1,R015-N303,R015-N304,0.023059100000004662,0.03532810000000097,0.03532810000000097
691,3566,991.0,973,1964.0,R090-R510,R291-R516,R291-R517,0.007116100000025938,0.016222099999971817,0.016222099999971817
692,3567,410.0,408,818.0,R051-R245A,R050-R244,R050-A004,0.028623699999997143,0.028623699999997143,0.028623699999997143
693,3568,1372.0,1373,2745.0,R091-R511,R238-N314,R238-N315,0.0031936999999970794,0.0055562999999949625,0.0055562999999949625
694,3569,2528.0,2477,5005.0,R297-N113,R297-N114,R059-R619,0.005438300000022878,0.005438300000022878,0.015457699999977592
695,3570,1778.0,1762,3540.0,R092-R512,R261-R518,R279-H022,0.007947200000025134,0.012291600000018832,0.04983279999997592
696,3571,3648.0,3635,7283.0,R269-N417,R269-N418,R171-B004,0.013808999999973537,0.013808999999973537,0.020399999999980878
697,3572,3937.0,3923,7860.0,R238-N314,R238-N315,R091-R511,0.0009439999999969473,0.0009439999999969473,0.007805999999995095
698,3573,1193.0,1195,2388.0,R092-R512,R261-R518,R016-N305A,0.0050076000000274234,0.014557399999972631,0.045355200000038565
699,3574,2637.0,2544,5181.0,R284-N112A,R284-N111,R171-B004,0.006341600000013159,0.006341600000013159,0.006926600000006999
700,3575,1384.0,1394,2778.0,R291-R517,R468-TRAM1,R015-N303,0.016953000000000884,0.0336420000000075,0.04553500000000099
701,3576,4505.0,4200,8705.0,R171-B004,R348-H035,R433-J020,0.003962000000001353,0.06740900000000494,0.0705600000000075
702,3577,977.0,982,1959.0,R051-R245,R051-A002,R050-R244A,0.03341759999999283,0.03341759999999283,0.03341759999999283
703,3578,2217.0,2199,4416.0,R411-B009,R297-N113,R297-N114,0.0020286999999612476,0.007417100000012056,0.007417100000012056
704,3579,2723.0,2707,5430.0,R123-R622,R060-R621,R270-N536,0.0059040000000010195,0.010911000000000115,0.04302699999999504
705,3580,3106.0,2868,5974.0,R060-R621,R098-B015,R098-B016,0.002909500000008336,0.023554699999998263,0.023554699999998263
706,3581,3548.0,3337,6885.0,R411-B009,R317-N420B,R270-N536,0.010249400000013509,0.01451439999999593,0.029291599999986317
707,3582,1244.0,1112,2356.0,R060-R621,R412-B010,R123-R622,0.003615299999999877,0.0038102999999907183,0.004306299999996099
708,3583,2990.0,2534,5524.0,R060-R621,R412-B010,R123-R622,0.0016091999999972018,0.0055058000000016705,0.0060018000000070515
709,3584,4979.0,4123,9102.0,R123-R622,R412-B010,R060-R621,0.0004366000000075587,0.0013566000000082568,0.00791619999998261
710,3585,1116.0,1120,2236.0,R062-R625,R062-R626,R349-H037,0.02254989999999424,0.02254989999999424,0.05356690000000697
711,3586,585.0,603,1188.0,R140-N309A,R140-N310,R302-N600,0.015636499999985176,0.015636499999985176,0.04121449999998816
712,3587,1115.0,1132,2247.0,R196-B013,R196-B012,R277-R635,0.007456599999997593,0.007456599999997593,0.011962199999999257
713,3588,1738.0,1753,3491.0,R093-R513,R140-N309A,R140-N310,0.01627569999999423,0.018399700000010455,0.018399700000010455
714,3589,1350.0,1368,2718.0,R093-R513,R079-A007,R079-A006,0.01339740000000944,0.04048559999998247,0.04048559999998247
715,3590,678.0,674,1352.0,R412-B010,R277-R635,R288-N539A,0.0025988999999952966,0.00821409999999645,0.023189099999996188
716,3591,1838.0,1868,3706.0,R093-R513,R090-R510,R291-R516,0.010338999999994769,0.014715000000002476,0.021515999999998314
717,3592,2259.0,2254,4513.0,R339-N312,R339-N311,R302-N600,0.011431800000025305,0.011431800000025305,0.049068000000012546
718,3593,4409.0,4339,8748.0,R092-R512,R468-TRAM1,R445-R401,0.0009140000000087412,0.03841099999999642,0.04917199999999866
719,3595,1551.0,1530,3081.0,R093-R513,R468-TRAM1,R015-N303,0.007323699999993494,0.04270230000000197,0.0531132999999997
720,3596,598.0,651,1249.0,R297-N113,R063-R627,R460-J001,0.018330999999996322,0.03515099999999194,0.044418800000002534
721,3597,2210.0,2209,4419.0,R094-R514,R016-N305A,R017-N305,0.013674799999996878,0.052663600000002475,0.052663600000002475
722,3598,1264.0,1267,2531.0,R259-N602,R447-R405,R447-R404,0.03944530000002544,0.04637010000001851,0.04637010000001851
723,3599,3851.0,3892,7743.0,R148-B014,R209-R636,R287-N419,0.008744500000041455,0.010352499999974896,0.026259499999959246
724,3601,875.0,877,1752.0,R209-R636,R196-B012,R297-N113,0.0063525999999995975,0.006391399999991165,0.01930860000000223
725,3602,2579.0,2585,5164.0,R093-R513,R238-N315,R238-N314,0.004285000000002981,0.0063809999999975275,0.0063809999999975275
726,3603,1557.0,1556,3113.0,R092-R512,R261-R518,R319-N601A,0.004091799999990542,0.020955199999995955,0.04232280000000088
727,3604,1535.0,1550,3085.0,R209-R636,R196-B012,R065-R629,0.0035794999999652077,0.009784300000021062,0.045632499999975096
728,3605,1566.0,1560,3126.0,R093-R513,R319-N601,R445-R401,0.006132799999988947,0.04081520000000438,0.0450597999999971
729,3606,1633.0,1624,3257.0,R134-R507,R134-R507,R276-R503,0.0001770000000078653,0.0001770000000078653,0.004796999999989282
730,3607,1020.0,1037,2057.0,R090-R510,R094-R514,R291-R516,0.015567799999999465,0.01687820000000073,0.024915199999995252
731,3608,1257.0,1269,2526.0,R276-R503,R134-R507,R235-H009,0.0033053000000009547,0.007717299999981719,0.025146700000014732
